generation	indiv.index	Mutcount	fitness	zogosity	s	h
100000	3531	7	0.984546	het	-0.0749605	0.0131244
100000	3531	7	0.984546	het	-0.000467448	0.139968
100000	3531	7	0.984546	het	-0.0180194	0.439196
100000	3531	7	0.984546	het	-0.00140086	0.163806
100000	3531	7	0.984546	het	-0.00334505	0.0565827
100000	2338	6	0.94177	het	-0.517049	0.0123367
100000	2338	6	0.94177	het	-0.1387	0.102167
100000	2338	6	0.94177	het	-0.896955	0.0396248
100000	2338	6	0.94177	het	-0.248158	0.00693108
100000	2338	6	0.94177	het	-0.796887	0.00132004
100000	1700	7	0.966996	het	-0.0215426	0.470003
100000	1700	7	0.966996	het	-0.83806	0.0253112
100000	1700	7	0.966996	het	-0.00304692	0.261944
100000	1700	7	0.966996	het	-0.00421	0.00205291
100000	1700	7	0.966996	het	-0.00296958	0.0443619
100000	1700	7	0.966996	het	-0.0068731	0.0937361
100000	506	5	0.983576	het	-0.000467448	0.139968
100000	506	5	0.983576	het	-0.107216	0.146796
100000	506	5	0.983576	het	-0.00296958	0.0443619
100000	506	5	0.983576	het	-0.0019182	0.0721201
100000	3278	9	0.918644	het	-0.115436	0.0914212
100000	3278	9	0.918644	het	-0.491081	0.0281878
100000	3278	9	0.918644	het	-0.0186269	0.000719047
100000	3278	9	0.918644	het	-0.175509	0.285149
100000	3278	9	0.918644	het	-0.00524681	0.385126
100000	3278	9	0.918644	het	-0.00334505	0.0565827
100000	3278	9	0.918644	het	-0.037454	0.157392
100000	2807	7	0.904768	het	-0.00196631	0.0853275
100000	2807	7	0.904768	het	-0.3388	0.19091
100000	2807	7	0.904768	het	-0.0409823	0.342313
100000	2807	7	0.904768	het	-0.0943015	0.193514
100000	2807	7	0.904768	het	-0.00421	0.00205291
100000	2807	7	0.904768	het	-0.000686853	0.185255
100000	1087	4	0.667605	het	-0.352378	0.00697108
100000	1087	4	0.667605	het	-0.785459	0.420531
100000	1087	4	0.667605	het	-0.0466248	0.00641296
100000	3036	5	0.964014	het	-0.42499	0.0149668
